No.,x1,x2
0,1,4
1,0.961784,3.84592
2,0.927073,3.70337
3,0.895772,3.57187
4,0.867789,3.45097
5,0.843031,3.34021
6,0.821409,3.23916
7,0.802832,3.14738
8,0.787213,3.06443
9,0.774464,2.98991
10,0.7645,2.9234
11,0.757236,2.8645
12,0.752589,2.81281
13,0.750476,2.76795
14,0.750817,2.72954
15,0.753531,2.69721
16,0.758541,2.6706
17,0.765768,2.64936
18,0.775137,2.63313
19,0.786572,2.62159
20,0.8,2.6144
21,0.815348,2.61124
22,0.832545,2.61181
23,0.85152,2.61579
24,0.872205,2.62288
25,0.894531,2.63281
26,0.918433,2.64529
27,0.943844,2.66005
28,0.970701,2.67682
29,0.99894,2.69536
30,1.0285,2.7154
31,1.05932,2.73672
32,1.09134,2.75908
33,1.1245,2.78225
34,1.15875,2.80603
35,1.19403,2.83021
36,1.23028,2.85459
37,1.26746,2.87897
38,1.3055,2.90319
39,1.34437,2.92705
40,1.384,2.9504
41,1.42435,2.97308
42,1.46538,2.99494
43,1.50703,3.01583
44,1.54926,3.03563
45,1.59203,3.05421
46,1.6353,3.07146
47,1.67902,3.08725
48,1.72315,3.1015
49,1.76766,3.11411
50,1.8125,3.125
51,1.85764,3.13409
52,1.90305,3.14131
53,1.94869,3.1466
54,1.99453,3.14992
55,2.04053,3.15121
56,2.08667,3.15045
57,2.13291,3.1476
58,2.17923,3.14265
59,2.2256,3.13558
60,2.272,3.1264
61,2.3184,3.11511
62,2.36477,3.10171
63,2.4111,3.08625
64,2.45736,3.06873
65,2.50353,3.04921
66,2.5496,3.02773
67,2.59555,3.00434
68,2.64136,2.97911
69,2.68701,2.9521
70,2.7325,2.9234
71,2.77781,2.89309
72,2.82292,2.86127
73,2.86784,2.82804
74,2.91254,2.79352
75,2.95703,2.75781
76,3.00129,2.72106
77,3.04532,2.68339
78,3.08912,2.64496
79,3.13268,2.60591
80,3.176,2.5664
81,3.21908,2.52661
82,3.26192,2.4867
83,3.30452,2.44687
84,3.34689,2.40731
85,3.38903,2.36821
86,3.43094,2.3298
87,3.47264,2.29228
88,3.51412,2.25588
89,3.55541,2.22084
90,3.5965,2.1874
91,3.63741,2.15581
92,3.67816,2.12632
93,3.71875,2.09921
94,3.7592,2.07474
95,3.79953,2.05321
96,3.83976,2.0349
97,3.8799,2.02012
98,3.91997,2.00916
99,3.96,2.00234
